id,quote,author
1,인생은 자전거를 타는 것과 같다. 균형을 유지하려면 계속 움직여야 한다.,알베르트 아인슈타인
2,성공은 열정을 잃지 않고 실패에서 실패로 걸어가는 것이다.,윈스턴 처칠
3,당신이 할 수 있다고 생각하든 할 수 없다고 생각하든 당신이 옳다.,헨리 포드
4,천 리 길도 한 걸음부터.,노자
5,꿈을 꾸는 사람만이 세상을 바꿀 수 있다.,스티브 잡스
6,오늘 할 수 있는 일을 내일로 미루지 마라.,벤자민 프랭클린
7,가장 어두운 밤도 끝나고 해는 뜬다.,빅토르 위고
8,지식이 많을수록 더 많이 모른다는 것을 알게 된다.,소크라테스
9,행복은 우리가 얼마나 갖느냐가 아니라 얼마나 즐기느냐에 달려 있다.,찰스 스펄전
10,실수를 두려워하지 마라. 시도하지 않는 것이 진짜 실수다.,작자 미상
11,지금 이 순간이 당신이 가진 전부다.,에크하르트 톨레
12,포기하지 않는 한 실패는 없다.,작자 미상
13,나는 생각한다 고로 나는 존재한다.,르네 데카르트
14,변화를 두려워하는 자는 결코 성장할 수 없다.,작자 미상
15,인내는 쓰다. 그러나 그 열매는 달다.,장자크 루소
16,좋은 아이디어는 절반이 실행이다.,작자 미상
17,배움에는 끝이 없다.,공자
18,자신을 이기는 자가 가장 강한 자다.,공자
19,가장 위대한 영광은 한 번도 실패하지 않는 것이 아니라 실패할 때마다 다시 일어서는 것이다.,공자
20,시작이 반이다.,아리스토텔레스
21,삶이 있는 한 희망이 있다.,마르쿠스 툴리우스 키케로
22,상상력은 지식보다 중요하다.,알베르트 아인슈타인
23,행동 없는 비전은 꿈에 불과하다.,조엘 바커
24,가장 어두울 때 별이 가장 잘 보인다.,랄프 왈도 에머슨
25,당신의 시간은 한정되어 있다. 다른 사람의 삶을 사느라 낭비하지 마라.,스티브 잡스
26,긍정적인 마음은 긍정적인 결果를 만든다.,Norman Vincent Peale
27,역경은 진정한 친구를 알게 한다.,아리스토텔레스
28,우리가 두려워해야 할 것은 오직 두려움 그 자체다.,프랭클린 루즈벨트
29,미소는 가장 짧은 거리를 이어주는 다리다.,작자 미상
30,오늘의 도전이 내일의 능력이 된다.,작자 미상
31,작은 일에 최선을 다하는 사람이 큰 일도 해낸다.,루터
32,침묵은 때로 가장 큰 대답이다.,작자 미상
33,진정한 용기는 두려움이 없는 것이 아니라 두려움에도 앞으로 나아가는 것이다.,넬슨 만델라
34,어제의 나보다 오늘의 내가 더 낫다면 그것으로 충분하다.,작자 미상
35,배움을 멈추는 순간 성장도 멈춘다.,작자 미상
36,불가능이란 없다. 그 단어 자체가 '나는 가능하다'를 담고 있다.,오드리 헵번
37,고통 없이는 얻는 것도 없다.,벤자민 프랭클린
38,실패는 선생님이다. 그 수업료는 비싸지만 배움은 값지다.,작자 미상
39,당신이 내일을 바꿀 수 없다면 오늘을 바꿔라.,작자 미상
40,희망은 깨어있는 자의 꿈이다.,아리스토텔레스
41,성공한 사람이 습관을 만들고 습관이 성공한 사람을 만든다.,작자 미상
42,하루하루를 마지막 날처럼 살아라.,스티브 잡스
43,내가 실패한 것이 아니다. 나는 성공하지 않는 1000가지 방법을 발견했을 뿐이다.,토마스 에디슨
44,더 많이 읽을수록 더 많이 알게 된다. 더 많이 배울수록 더 많은 곳에 갈 수 있다.,닥터 수스
45,큰 꿈을 꾸어라. 꿈이 크면 실수도 작아진다.,작자 미상
46,지금 당장 시작하라. 완벽한 때는 결코 오지 않는다.,나폴레온 힐
47,남과 비교하지 말고 어제의 나와 비교하라.,작자 미상
48,한 번의 실망이 길을 막지는 않는다.,작자 미상
49,인생에서 가장 낭비되는 날은 웃지 않은 날이다.,샤를리 채플린
50,우리가 할 수 있는 최선은 항상 완벽 이상이다.,랄프 왈도 에머슨
51,지금 힘들다고 포기하면 그 pain은 영원하지만 지금 참으면 pain은 끝난다.,작자 미상
52,모든 것은 마음에서 시작된다.,마르쿠스 아우렐리우스
53,하고 싶다면 방법을 찾고 하기 싫다면 핑계를 찾는다.,작자 미상
54,인간의 위대함은 자신을 바꿀 수 있는 능력에 있다.,마하트마 간디
55,결국 중요한 것은 삶의 년수가 아니라 삶의 질이다.,에이브러햄 링컨
56,낡은 방식으로 새로운 결과를 기대할 수는 없다.,알베르트 아인슈타인
57,진정으로 웃는 사람은 아직 전부 다 생각한 게 아니다.,윈스턴 처칠
58,완벽함은 선함의 적이다.,볼테르
59,인내와 시간은 가장 강한 두 전사다.,레프 톨스토이
60,지금 자면 꿈을 꾸지만 지금 공부하면 꿈을 이룰 수 있다.,작자 미상
61,기회는 준비된 자에게 온다.,루이 파스퇴르
62,당신이 누구인지는 당신이 어떻게 일어서느냐로 결정된다.,작자 미상
63,삶은 가까이서 보면 비극이지만 멀리서 보면 희극이다.,찰리 채플린
64,남의 시선을 의식하느라 자신의 삶을 잃지 마라.,작자 미상
65,행복은 목적지가 아니라 여정이다.,작자 미상
66,위험을 감수하지 않으면 아무것도 얻을 수 없다.,작자 미상
67,작은 친절이 세상을 바꿀 수 있다.,작자 미상
68,매일 배우는 사람은 절대 늙지 않는다.,작자 미상
69,좋은 판단력은 경험에서 오고 경험은 나쁜 판단력에서 온다.,윌 로저스
70,자신을 믿어라. 당신의 본능과 직관을 신뢰하라.,스티브 잡스
71,인생에서 중요한 것은 먼 곳의 큰 것이 아니라 가까운 곳의 작은 것이다.,토마스 칼라일
72,모든 위대한 성취는 처음엔 불가능해 보였다.,넬슨 만델라
73,가장 좋은 복수는 성공하는 것이다.,작자 미상
74,오늘 하지 않으면 내일도 하지 않는다.,작자 미상
75,사람은 자신이 생각하는 대로 된다.,부처
76,내가 바꿀 수 없는 것은 받아들이고 바꿀 수 있는 것은 바꿔라.,라인홀드 니버
77,빛은 어둠 속에 있을 때 가장 밝다.,작자 미상
78,최고의 투자는 자기 자신에게 하는 투자다.,워렌 버핏
79,실패는 성공의 어머니다.,작자 미상
80,진정한 부자는 많이 가진 자가 아니라 적게 원하는 자다.,작자 미상
81,논리는 당신을 A에서 B로 데려간다. 상상력은 어디든 데려간다.,알베르트 아인슈타인
82,나는 오늘 어제와 다르게 생각한다. 내일은 오늘과 다르게 생각할 것이다.,볼테르
83,삶을 있는 그대로 사랑하라.,작자 미상
84,지식을 나누면 두 배가 된다.,작자 미상
85,꿈이 있는 사람은 멈추지 않는다.,작자 미상
86,자신이 옳다고 생각하면 끝까지 밀고 나가라.,해리 트루먼
87,세상에서 가장 용감한 일은 자기 자신이 되는 것이다.,오스카 와일드
88,가장 어려운 것은 자기 자신을 아는 것이고 가장 쉬운 것은 남을 충고하는 것이다.,탈레스
89,생각이 바뀌면 행동이 바뀌고 행동이 바뀌면 운명이 바뀐다.,제임스 알렌
90,세상을 바꾸고 싶다면 먼저 자신을 바꿔라.,마하트마 간디
91,매 순간을 온전히 살아라.,헨리 데이비드 소로
92,최선을 다했을 때의 실패는 최선을 다하지 않았을 때의 성공보다 낫다.,작자 미상
93,과거에서 배우되 과거에 살지 마라.,작자 미상
94,시간은 돈보다 귀하다. 돈은 다시 벌 수 있지만 시간은 되돌릴 수 없다.,작자 미상
95,강한 사람은 넘어지지 않는 사람이 아니라 넘어져도 다시 일어나는 사람이다.,작자 미상
96,진정한 친구는 네 등 뒤에서도 같은 말을 한다.,작자 미상
97,미래는 자신의 꿈의 아름다움을 믿는 사람들의 것이다.,엘리너 루즈벨트
98,당신이 없어도 세상은 돌아간다. 하지만 당신이 있기에 세상은 더 아름답다.,작자 미상
99,비가 온 뒤에 땅이 굳는다.,한국 속담
100,하늘이 무너져도 솟아날 구멍이 있다.,한국 속담
